genre,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,valence,tempo
blues,0,1,4,0.00817,0.737,0.463,0.447,0.255,-7.828,0.324,123.881
blues,8,1,4,0.689,0.658,0.179,0,0.17,-10.866,0.191,128.128
blues,0,1,4,0.0438,0.634,0.849,0,0.363,-7.075,0.919,156.004
blues,7,1,4,0.181,0.596,0.605,0.000331,0.0863,-12.145,0.886,97.798
blues,2,1,4,0.0801,0.635,0.675,0,0.0831,-3.445,0.273,113.946
blues,5,1,3,0.546,0.273,0.347,0.0137,0.334,-8.631,0.328,87.411
blues,6,1,4,0.229,0.58,0.687,0,0.109,-5.4,0.187,76.014
blues,11,1,4,0.028,0.705,0.735,0.0783,0.112,-6.646,0.448,132.627
blues,9,0,4,0.0029,0.333,0.927,0.000211,0.297,-8.55,0.382,141.47
blues,8,1,4,0.234,0.445,0.706,0.000252,0.205,-9.803,0.768,80.823
blues,2,1,4,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.607,166.3
blues,6,1,3,0.461,0.427,0.465,5.52E-05,0.154,-6.595,0.458,112.137
blues,0,1,4,0.392,0.47,0.623,0.000453,0.0992,-5.655,0.298,77.861
blues,0,1,4,0.0738,0.249,0.834,9.48E-05,0.0924,-8.21,0.338,118.223
blues,8,1,4,0.00255,0.438,0.805,5.69E-05,0.0842,-6.237,0.564,113.253
blues,9,1,4,0.0607,0.699,0.502,0.0337,0.317,-12.526,0.676,105.266
blues,7,0,4,0.57,0.756,0.397,0.0115,0.0542,-10.701,0.507,101.985
blues,6,1,4,0.0366,0.422,0.752,0.000119,0.129,-8.682,0.403,120.471
blues,9,1,4,0.619,0.389,0.476,5.09E-05,0.255,-9.342,0.566,148.117
blues,0,1,4,0.00772,0.505,0.833,7.90E-05,0.069,-4.632,0.565,130.121
blues,1,1,4,0.462,0.349,0.692,0.00266,0.197,-11.691,0.952,179.396
blues,5,1,4,0.365,0.596,0.448,5.30E-06,0.206,-9.616,0.796,83.293
blues,1,1,4,0.577,0.404,0.903,0.297,0.287,-3.88,0.498,115.672
blues,2,1,4,0.221,0.787,0.472,0.000336,0.153,-12.824,0.824,120.059
blues,6,0,4,0.00121,0.504,0.705,4.12E-06,0.453,-6.179,0.567,108.965
blues,0,1,4,0.913,0.443,0.104,0,0.191,-17.042,0.394,76.497
blues,5,1,4,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.923,148.217
blues,7,1,4,0.209,0.585,0.532,0.00797,0.227,-9.673,0.68,94.461
blues,7,1,4,0.649,0.572,0.214,0.129,0.125,-15.625,0.485,95.542
blues,7,1,4,0.0117,0.292,0.823,7.79E-05,0.155,-6.763,0.244,89.939
blues,1,0,4,0.0265,0.44,0.777,1.01E-06,0.151,-1.786,0.306,148.027
blues,9,0,3,0.000385,0.295,0.584,0.218,0.0996,-6.696,0.228,117.2
blues,5,1,4,0.000359,0.601,0.859,0.00124,0.0871,-5.263,0.446,125.145
blues,2,1,4,0.302,0.453,0.464,5.96E-05,0.152,-10.96,0.658,93.19
blues,2,1,4,0.00876,0.533,0.905,0.578,0.0698,-5.27,0.486,108.9
blues,4,1,4,0.0096,0.583,0.962,0.128,0.283,-3.037,0.506,123.977
blues,2,1,4,0.0151,0.606,0.679,0.000433,0.0962,-7.445,0.707,122.016
blues,9,1,4,0.698,0.554,0.74,6.90E-05,0.225,-7.706,0.804,133.363
blues,1,0,4,0.221,0.645,0.598,3.53E-06,0.0721,-13.18,0.913,105.929
blues,8,1,4,0.0274,0.427,0.626,0.00395,0.106,-11.821,0.743,126.877
